,0
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,1
428,0
429,0
430,1
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,0
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,0
527,1
528,1
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,1
571,1
572,0
573,1
574,0
575,0
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,1
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,1
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,0
631,0
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,0
648,1
649,1
650,1
651,0
652,0
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,1
686,1
687,0
688,0
689,0
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,1
739,1
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,0
772,0
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,1
800,1
801,0
802,1
803,0
804,0
805,0
806,1
807,1
808,1
809,0
810,1
811,0
812,1
